strategy_id,name,claim,falsification_test,metric,threshold,data_or_evidence_needed,human_action_id,status,result_pointer
S12,Contracted registered-capacity supply base,"A candidate US partner already fills a similar approved presentation in the same container type with a satisfactory CGMP inspection for that operation, so its site-product pair is a CBE-30-class change rather than a prior approval supplement with a preapproval inspection.","For a real named partner list, have a CMC regulatory professional apply the F3-S45 site-change criteria (VI.A, VI.B.1, VI.B.2, VI.B.4) per site-product pair.",count of candidate partners whose site-product pair qualifies as CBE-30-class; expected elapsed days per pair,falsified if no candidate qualifies; the 365-day leg then does not exist and the family loses its central advantage over building,a partner shortlist plus a professional regulatory reading; not obtainable by search,HA-23; HA-31,untested,"docs/audits/07_human_action_queue.md#HA-23, HA-31"
S12,Contracted registered-capacity supply base,Telo beats Civica at this architecture (pruning rule P5).,"State a reason, backed by evidence, why Telo wins against a named incumbent already running 14 partners and 77 products (F3-S25).","presence of a stated, evidenced differentiator","falsified today: no such reason is in the evidence. This strategy is configured as the family's reference and comparator arm, not as a recommendation",an evidenced differentiator against Civica; none found in the Phase C sweep,HA-24; HA-33,untested,"docs/audits/07_human_action_queue.md#HA-24, HA-33; docs/design_space/competitive_landscape.md"
S13,Contracted base supply plus rotated reserved surge plus reserve inventory,The rotated reserved surge leg adds tail service beyond what contracted base capacity plus deep inventory already deliver.,"Leg-by-leg ablation on the post-R004/R005 battery at matched design variables, both products: remove the rotated reserved surge; separately remove the firm second source; separately revert region_base_stock to 0.","p_meet at the frozen tail requirement with its binomial standard error, per ablation arm","falsified if removing the rotated reserved surge leaves p_meet inside its binomial standard error; the design then collapses into frozen S2 plus frozen S1, which are already comparators","none; in-model. Two open defects bear on the inventory leg (MD-3, MD-4) and one on opening stock (free initial inventory), so the ablation must be run after those are addressed",none (in-model),untested,"leg-by-leg ablation is not in the Phase D battery, whose factors are mechanisms not legs; nearest results/ablation/abl_post_R008/attribution.csv#S13.contract_insufficiency and results/ablation/abl_post_R008_pairs/summary.json"
S13,Contracted base supply plus rotated reserved surge plus reserve inventory,A 120-to-365-day regional reserve of a 24-month product is affordable once expiry is charged honestly.,Sweep safety_stock_days from 30 to 365 with lot expiry and FEFO active and the free-opening-inventory defect fixed (charge initial_units at variable_materials plus variable_conversion on day 0).,"expiry scrap units and expiry cost as a share of annual_total_cost, against p_meet gained",falsified if the marginal p_meet per marginal million USD of expiry cost is worse than for simply buying more registered capacity,"none; in-model, but the ledger fix must land first or the deep-stock arm is flattered",none (in-model),untested,the safety-stock-against-expiry sweep is not in the Phase D battery; nearest results/simulation/sim_post_R008/summary.json#by_strategy.norepinephrine_1mgml_4ml|S13.expiry_rate and results/optimization/opt_20260903T220534Z/summary.json#records.*|S13.best_design.safety_stock_days
S14,Cooperative-financed registered second source with committed offtake,Cooperative equity plus committed offtake is the instrument that makes a second registered source financeable at a generic price.,"Compute contracting.minimum_contracted_utilization for the acquired site at a price a GPO or cooperative will state in writing, then compare it with the share the cooperative will actually commit.",minimum contracted utilization required; committed share offered,"falsified if the required share exceeds the offered share, or exceeds 1.0 of saleable capacity; the architecture is then dead at that price and no model run changes it",a written price and committed volume from a GPO or health-system cooperative,HA-24; HA-20; HA-33,falsified in the model,"results/design_space/contract_conditions_sim_post_R008.csv#S14 through contracting.minimum_contracted_utilization: 1.347 (norepinephrine) and 1.013 (sodium bicarbonate) at an assumed 18.00 USD per unit, both above 1.0 of saleable capacity; the price floor at which the share reaches 1.0 is 23.84 and 18.21 USD per unit. The offered-share half stays open on HA-24"
S14,Cooperative-financed registered second source with committed offtake,Acquiring an already registered sterile plant and transferring the product into it takes materially less than the 730-day build clock.,"A qualified generic-drug CMC reviewer states the reporting category and expected duration of a site-transfer supplement for an acquired registered plant, and the acquisition target set is checked for actual availability.",elapsed days from acquisition to first released commercial batch,"falsified if not materially below node_commissioning_days (730 d). Indirect counter-evidence to test against, with the caveat the source carries: a 503B operator bought a 110,000 sq ft sterile plant in February 2022, registered it in July 2022, and FDA still recorded it as not yet inspected 4.2 years later. The source records that the purchase announcement said the plant would require further modifications to meet aseptic manufacturing FDA regulations and guidance, so it measures conversion of a non-aseptic plant plus qualification rather than acquisition of an already aseptic registered line (L503B-S01, L503B-S21)",a professional regulatory opinion plus an inspection-status check on real candidate plants,HA-23; HA-31; HA-13,untested,"docs/audits/07_human_action_queue.md#HA-23, HA-31, HA-13"
S15,"Capacity-adequate buffer-payable presentation (inventory-first, no new plant)","For a capacity-adequate presentation, positioned inventory with a daily base-stock regional review reaches the frozen tail requirement at a unit cost at or below the status quo, with no plant, no validation and no commissioning.","Run against frozen S0 and S1 under matched bounds at n = 100 on the post-R004/R005 engine, then repeat with region_base_stock forced to 0.","p_meet at the frozen tail requirement and cost_per_delivered_unit, against S0 and S1","falsified if the advantage disappears when the review rule reverts to the frozen one; the result is then MD-3, a hard-coded rule the protocol never specifies, and the architecture has no content beyond a model artifact","none; in-model. Also requires the free-opening-inventory defect to be fixed, since this is the deepest-stock design in the battery",none (in-model),falsified in the model,"results/optimization/opt_20260903T220534Z/summary.json#records.norepinephrine_1mgml_4ml|S15 (infeasible_at_full_n, p_meet 0.73) and #records.sodium_bicarbonate_8_4_50ml|S15 (infeasible); results/design_space/ds_post_R008/dominance.csv#S15 p_meet 0.825 and 0.125 against q = 0.90: it holds the cheap end of both frontiers without reaching the tail requirement on either product. Product split, as inventory_capacity_hybrids.md section 3.6 states it: falsified on sodium bicarbonate, where forcing region_base_stock to 0 takes fill from 0.938653 to 0.789019 and p_meet to 0.00; on norepinephrine the frozen-rule point still reads p_meet 0.90 on the n = 20 screen, so that half is unresolved rather than passed, and its n = 100 confirmation in the same run directory returned 0.73"
S15,"Capacity-adequate buffer-payable presentation (inventory-first, no new plant)","An eligible hospital (100 beds or fewer, not part of a chain) will accept a Telo-held buffer as a contractual arrangement with an intermediary on its cost report, and will pay a fee for it.","Ask three eligible hospitals whether their cost report would accept the arrangement under 42 CFR 412.113(g), and what they would pay.",number willing; stated fee per unit-year of buffer held,"falsified if the arrangement is not cost-report acceptable, or no fee is stated; the revenue mechanism dies while the inventory result survives as an argument for somebody else's balance sheet. Family 7's standing instruction is to assume no until a purchaser says otherwise",hospital finance and pharmacy answers; the CMS rule permits third-party holding but no price is published,HA-20; HA-33,untested,"docs/audits/07_human_action_queue.md#HA-20, HA-33"
S15,"Capacity-adequate buffer-payable presentation (inventory-first, no new plant)","The engine's cost figure for this design is Telo's cost, not the incumbent's.","Add a purchased-finished-goods price line and re-run, or state plainly that the reported cost is the incumbent's production cost.",cost_per_delivered_unit with and without a transfer price carrying the maker's fixed cost and margin,"falsified as configured: the engine has no purchased-finished-goods price line, so the reported cost IS the incumbent's production cost and a real transfer price could invert the comparison",a wholesale acquisition or transfer price for the presentation,HA-11; HA-24,falsified in the model,"results/simulation/sim_post_R008/summary.json#by_strategy.*|S15.ledger_variable_production: units are costed at variable_materials plus variable_conversion only and the engine has no purchased-finished-goods price line, so the reported figure is a production cost and a real transfer price could invert the comparison"
S16,Reserve-triggered campaign network on contracted registered capacity,Coupling a days-of-supply activation trigger to a periodically exercised campaign slot beats a plain reserved contract (frozen S3).,"Best searched design against frozen S3 at matched annual cost on the post-R004/R005 battery, n >= 100, both products.","p_meet at the frozen tail requirement, difference against S3 in binomial standard errors",falsified if it does not beat S3 by more than two binomial standard errors at matched annual cost; the coupling then adds nothing and the architecture collapses to S3,none; in-model,none (in-model),supported by the model under illustrative inputs,"DECIDED BY results/optimization/opt_20260903T220534Z/summary.json#records: S16 p_meet 0.94 against S3's 0.81 (sodium bicarbonate) and 0.93 against 0.82 (norepinephrine) at n = 100, 2.8 and 2.4 independent-sample standard errors, at 3,551,569 and 1,444,949 USD/yr less than S3. The declared matched-annual-cost form of the test was NOT run, and the lower-n evaluation of the same designs does not clear the bar: results/design_space/ds_post_R008/dominance.csv#S16 against S3: p_meet 0.90 at 15.89M against 0.80 at 17.34M USD/yr (norepinephrine) and 0.925 at 16.48M against 0.85 at 20.03M (sodium bicarbonate), so it beats S3 on the tail at lower cost on both; the sodium bicarbonate gap of 0.075 is inside two binomial standard errors at 40 runs, and the matched-annual-cost form of the test was not run"
S16,Reserve-triggered campaign network on contracted registered capacity,"Exercising a reserved line keeps it ready, so the exercise cadence buys reliability and not merely output.",Set exercise_batches_per_year to 0 and re-run; separately move activation_failure_probability across its range with the cadence fixed.,"mean fill_rate and p_meet as a function of exercise cadence, and separately as a function of activation_failure_probability","falsified in the engine as it stands: activation_failure_probability is a per-plan constant with no link to the exercise cadence, so any cadence effect is production volume. The claim is untestable until a readiness-decay hazard exists. Measured 2026-09-03 as well: MD-23, exercise_due requires active_until_batches <= 0, so a banked campaign batch blocks an exercise batch one for one and this design's lines are activated often. Verification-pass run 2026-09-03, post-R007 configuration, sodium bicarbonate, master seed 20260901, n = 25, horizon 2191 d after a 365 d warm-up, no manifest: exercise 2/yr gives fill 0.96830 (MCSE 0.00361) against 0.96667 (MCSE 0.00376) at cadence 0, p_meet 0.00 in both arms, so the effect is inside MCSE; the same ablation on S17, whose lines are rarely activated, moves +0.01070 with p_meet 0.92 -> 0.48 This run predates revision R008 (a site that does not exist at t0 now starts its commissioning and expansion clock at the first measured day) and wrote no manifest, so it is a scoping observation only and no number from it may be quoted quantitatively.","an engine change (readiness decay as a function of days since the last qualified batch, with a requalification lead on failure), then the run","none (in-model, blocked on an engine gap); HA-21 and HA-22 for the decay rate itself",untested,"blocked on engine gap MD-23 (exercise_due substitutes a campaign batch for an exercise batch), so no run can separate readiness from output; HA-21, HA-22 for the readiness-decay rate"
S16,Reserve-triggered campaign network on contracted registered capacity,"Someone already contracts this shape, or nobody does.","Search for a GPO, nonprofit or government contract in which reserve depletion below a stated threshold triggers a pre-qualified campaign at a named site.",existence of one such contract,"novelty falsified (reclassified to already_implemented) if one is found (F8 section 7, row 5); the architecture may still be right, but the novelty claim is withdrawn",contract text or a program description; none found in the Phase C sweep,HA-24; HA-33,untested,"docs/audits/07_human_action_queue.md#HA-24, HA-33"
S17,Rotating prequalified campaign network across three registered CMO fill lines,"Campaign rotation across three already filed, already registered third-party lines closes the capacity deficit with zero commissioning and a 30-day rather than 730-day lead.","Run against frozen S3, S4 and S5 at n = 100 on the post-R004/R005 battery, both products, matched inventory variables.","mean fill_rate, p_meet, cost_per_delivered_unit and commissioning days lost",falsified if it does not beat S4 (simply enlarging the incumbent plant) on p_meet at comparable cost,none; in-model,none (in-model),supported by the model under illustrative inputs,results/design_space/ds_post_R008/dominance.csv#S17 against S4: p_meet 1.00 at 18.20M against 0.60 at 37.81M USD/yr (norepinephrine) and 0.85 at 19.13M against 0.00 at 38.13M (sodium bicarbonate); results/simulation/sim_post_R008/summary.json#by_strategy.*|S17.capacity_days_lost_to_commissioning_fraction = 0.0000 on both products
S17,Rotating prequalified campaign network across three registered CMO fill lines,Rotation buys readiness: a line exercised four times a year activates more reliably than a cold one.,Two-by-two: hold cadence fixed and move activation_failure_probability from 0.10 to 0.35; hold the failure probability fixed and move exercise from 4/yr to 0.,change in mean fill_rate and p_meet along each axis,"falsified in this engine: the gap moves with exercise volume and not with the failure probability, because there is no readiness-decay hazard. On this engine the design is distributed routine contracted supply wearing a standby label and must be reported that way","an engine change (readiness decay), then the run; separately, a real activation-failure rate for a warm line, which is not public","none (in-model, blocked on an engine gap); HA-21",untested,"blocked on engine gap MD-23; activation_failure_probability is a per-plan constant with no readiness-decay hazard, so the two-by-two cannot be run as specified; HA-21"
S17,Rotating prequalified campaign network across three registered CMO fill lines,"Adding three third-party sterile fill sites to one approved ANDA is a change category that can actually be carried, and a CMO will sell an enforceable priority call on reserved capacity.",(a) A CMC reviewer assigns the reporting category for adding a third-party sterile fill-finish site to an approved ANDA and says whether any approved ANDA lists three or more US sterile fill sites for one presentation. (b) A named CMO quotes four campaigns per year with a contractual priority call.,reporting category per site addition; number of ANDAs with three or more US sterile fill sites; quoted price of a priority call,"falsified if each addition is a prior approval supplement with a preapproval inspection (the design is then dominated by expanding the incumbent plant), or if no CMO will sell allocation rights at any price","Module 3.2.P.3 facility tables, which are not public; a professional regulatory reading; CMO quotes. Industry refused exactly this co-tenancy at CIADM for fear of displacement (F7-S01)",HA-23; HA-31; HA-13,untested,"docs/audits/07_human_action_queue.md#HA-23, HA-31, HA-13"
S18,Dual committed supply with contract-mandated distinct API and container sources,Contract-mandated container-source independence (not just API independence) moves the tail beyond what frozen S2 with independent_api_supplier = 1 already achieves.,"Head to head against frozen S2 with independent_api_supplier = 1 at matched service, then re-run with second_source moved back onto vial_1 (dropping cc_vial_2). Precondition, satisfied 2026-09-03: cc_stopper_1 is now declared on both sites, so the shared container-closure hazard is in the model rather than only in prose; the vial_2 ablation was not interpretable before that, because the stopper leg of the same correlation was absent. Run the matched-membership stopper control (same group count, second_source moved to cc_stopper_2) alongside it.",p_meet at the frozen tail requirement with the binomial standard error MD-16 now reports,"falsified if the tail probability does not move by more than that standard error when cc_vial_2 is removed; the architecture then collapses into S2 with extra validation cost. Verification-pass run 2026-09-03, post-R007 configuration, sodium bicarbonate, master seed 20260901, n = 25, horizon 2191 d after a 365 d warm-up, no manifest: the stopper matched-membership control gives fill 0.98711 (MCSE 0.00289) shared against 0.98721 (MCSE 0.00288) split, p_meet 0.52 in both arms, a difference of -0.00009 inside MCSE, so at the frozen hazard rate the container-closure correlation is represented but not load-bearing This run predates revision R008 (a site that does not exist at t0 now starts its commissioning and expansion clock at the first measured day) and wrote no manifest, so it is a scoping observation only and no number from it may be quoted quantitatively.",none; in-model,none (in-model),untested,"the cc_vial_2 removal and the stopper matched-membership control are not in the Phase D battery; nearest results/design_space/ds_post_R008/dominance.csv#S18 (feasible on sodium bicarbonate, dominated by S12)"
S18,Dual committed supply with contract-mandated distinct API and container sources,"The measured gain comes from source independence, not from the supplier-held buffer the same contract requires.","Second ablation: drop the supplier-held buffer (site_fg_days to 30, material_target_days to 60) while keeping the distinct sources.",share of the p_meet gain attributable to the buffer against the source topology,"falsified as a contracting architecture if most of the gain is the buffer; the finding is then an inventory result already known from S1 and S2, dressed in contract language",none; in-model,none (in-model),untested,the supplier-buffer ablation is not in the Phase D battery; nearest results/design_space/ds_post_R008/thresholds.csv#S18.supplier_concentration
S18,Dual committed supply with contract-mandated distinct API and container sources,A purchaser will pay for a committed contract with an enforceable failure-to-supply penalty and mandated distinct sources.,"Ask a GPO or health system whether it will sign committed volume with an enforceable failure-to-supply penalty, and at what price. The only quantified failure-to-supply result available is conditional on a 30 percent price increase travelling with it (F10-S33).",stated price uplift accepted; stated penalty magnitude,"falsified if no purchaser will pay the price increase the quantified result is conditioned on; note also that a committed-contracting regime may shrink the demand available to a new entrant (F10-S45, F10-S36)",contract terms and price; no contract text is public for any of the four private programs (F10 section 9 item 4),HA-24; HA-33,untested,"docs/audits/07_human_action_queue.md#HA-24, HA-33"
S19,Maintained alternate-source switching package with an exercised standby line,"A maintained regulator-pre-agreed switching package is worth its cost, because it converts a 386-day activation lead into something near 51 days.","Three paired designs identical except for second_source.activation_lead_days at 386, 201 and 51 days (365 / 180 / 30 regulatory clocks each plus the 21-day reserved activation lead), both products, n >= 100.","p_meet at the frozen tail requirement at each activation lead, with its binomial standard error","falsified if the p_meet difference across the three leads is inside its binomial standard error; the switching package is then worth nothing in this model and the architecture dies. Re-run required and done after cc_quality was declared on both sites (2026-09-03), because the p_meet this row measures is a tail quantity and the shared disposition function is a tail correlation. Verification-pass run 2026-09-03, post-R007 configuration, sodium bicarbonate, master seed 20260901, n = 25, horizon 2191 d after a 365 d warm-up, no manifest: fill 0.79513 (MCSE 0.00794) and p_meet 0.00 at 386 d, 0.83225 (MCSE 0.00784) and p_meet 0.00 at 201 d, 0.97695 (MCSE 0.00566) and p_meet 0.44 at 51 d, so the package is worth nothing at the 180-day GDUFA III clock and something only at the CBE-30 lead. Provisional until the Phase D battery re-runs it at n >= 100 with a manifest This run predates revision R008 (a site that does not exist at t0 now starts its commissioning and expansion clock at the first measured day) and wrote no manifest, so it is a scoping observation only and no number from it may be quoted quantitatively.",none; in-model,none (in-model),untested,"the three-lead paired design (activation_lead_days 386, 201, 51) is not in the Phase D battery; nearest results/design_space/ds_post_R008/thresholds.csv#S19 (infeasible at base on sodium bicarbonate, p_meet 0.00)"
S19,Maintained alternate-source switching package with an exercised standby line,The declared shared key-starting-material tier is load-bearing for this design.,"Split cc_ksm_api_1 into two groups with the same total group count and different membership, and re-run.",change in p_meet and common_cause_days,"falsified if service is unchanged; the honest upstream correlation is then not load-bearing here and the design is frozen S3 with a longer activation lead. MD-19 (fixed under R007): until 2026-09-03 the supplier arm of a common-cause group was structurally inert, because shipment was gated on capacity > 0 while a group sets its members to 1 - impact, so this test would have measured the site arm only. A supplier at fraction f now ships at most f of one full order per day. Verification-pass run 2026-09-03, post-R007 configuration, sodium bicarbonate, master seed 20260901, n = 25, horizon 2191 d after a 365 d warm-up, no manifest: the shared and split arms of the S9 control still both return fill 0.997733, so the null this test reports is a property of network slack and the 0.1 events per group-year hazard rate, not of the gate, and must be reported that way This run predates revision R008 (a site that does not exist at t0 now starts its commissioning and expansion clock at the first measured day) and wrote no manifest, so it is a scoping observation only and no number from it may be quoted quantitatively.",none; in-model,none (in-model),untested,the cc_ksm_api_1 split-membership control is not in the Phase D battery; nearest results/design_space/ds_post_R008/thresholds.csv#S19.common_cause_dependence (at or below 0.112 per group-year on norepinephrine)
