dimension,option,what_it_changes_in_the_model,phase_a_mechanism_addressed,prior_art_source_ids,already_implemented_by,regulatory_gate_ids,notes
customer,"group purchasing organization (Vizient, Premier, HealthTrust)",one purchaser aggregating demand; makes committed_units_per_year large enough to matter but concentrates default risk,contract insufficiency; low utilization,"LSIM-S20, LSD-S11, F10-S05, F10-S06",Vizient NES and Reserve; Premier ProvideGx; HealthTrust SIMS,none,"three GPOs cover over 90% of US hospitals, so selling outside the channel means selling against it"
customer,hospital consortium that co-owns the asset,capital requirement is shared; utilization is contracted by construction; payer and beneficiary coincide,contract insufficiency; low utilization; capacity shortfall,"F13-S43, L503B-S22, L503B-S28, F13-S23",STAQ Pharma (health-system-owned 503B); Civica; Premier equity in Exela,none,"the documented instances are 503B or an ANDA co-investment, not a co-owned distributed network"
customer,"federal purchaser (BARDA, ASPR, SNS, DLA)",activation condition and allocation rights are exercisable by the buyer; capital may be granted rather than raised,contract insufficiency; capacity shortfall; insufficient surge headroom,"F13-S01, F13-S29, F10-S24, LGOV-S23, LGOV-R01",Project BioShield; CIADM; DLA Warstopper; Phlow,none,advance purchase is implemented for countermeasures only (F10-S29); BioMaP entry needs MRL 6 with cost share
customer,state or regional programme (CalRx-type),a purchaser with a statutory mandate but no manufacturing licence; Telo would hold the application,contract insufficiency,"F13-S18, F13-S19, F13-S20, F13-S24","CalRx (naloxone white-label, contracted insulin); Virginia EDA coalition",G01,no state has licensed and operated a generic sterile-injectable plant
customer,ANDA holder or incumbent manufacturer (Telo sells capacity to them),"Telo is a listed contract site; the customer owns the application, so gates G01 and G02 sit with them",commissioning delay; capacity shortfall; contract insufficiency,"F3-S52, LCDM-S14, LCDM-S3","every merchant sterile CDMO (Simtra, Curia, Jubilant, GRAM)","G01, G02, G07",the standard contract shape puts committed capacity obligations on the maker without minimum purchase on the buyer (LCDM-S14)
customer,"CDMO or 503B operator buying a service (lab, software, qualification)",no drug revenue; the model would need a fee channel it does not have,"fixed quality cost (theirs, not Telo's)","F4-S11, F4-S14, LQBR-S27, LPMS-S05","Korber, Veeva, MasterControl, Leucine sell here today",none,"the two largest 503B operators already run rapid sterility on site, which bounds a hub-lab offer (F4-S11, F4-S14)"
customer,"wholesaler or distributor (McKesson, Cencora, Cardinal)",would need an allocation-layer model the engine does not have,not assessed,no external precedent found (search: landscape/shortage_data_supply_risk.md section 6.10),none found,none,"the landscape sweep did not cover wholesaler allocation systems, which probably hold the real-time availability data"
business model and revenue mechanism,unit sale of finished drug product under Telo's own application,break_even_price is the whole annual cost divided by delivered units; Telo carries every gate,none directly; it is the only mechanism the cost model currently prices,"F3-S23, F3-S25, LNPM-S03",Civica (own ANDAs plus partner supply),"G01, G02, G03",the model never infers a price from a cost (protocol 5.2); a price needs HA-11 or HA-24 evidence
business model and revenue mechanism,unit sale under a partner's application (own-label distributor),"removes the application-holder gate from Telo and with it the commissioning path, but also the data rights",commissioning delay; regulatory unavailability,"F4-S18, F3-S52",Civica label-and-NDC over Xellia's ANDA; own-label distributors are an FDA category,G01,"no manufacturing asset is involved, so no service mechanism in the engine changes"
business model and revenue mechanism,contract manufacturing fee (Telo as the CDMO),"revenue per batch rather than per unit; utilization becomes the customer's problem, not Telo's",low utilization; fixed quality cost,"LCDM-S3, LCDM-S14, LCDM-S5","Simtra, GRAM, Jubilant, Curia","G02, G03, G07","the engine has no revenue side at all, so this is an accounting change outside the simulation"
business model and revenue mechanism,reservation fee plus execution fee (capacity option),reserved sites carry only the reservation fee when not owned (R004); take_or_pay_fraction charges committed volume whether or not the line runs,contract insufficiency; insufficient surge headroom,"F10-S32, F10-S31, F3-S3, F3-S9, F7-S04",EU FAB (about EUR 160M for twelve months); BARDA CIADM; commercial Lonza and WuXi clauses,none,"no disclosed pharmaceutical contract states both fees; every SEC reservation fee is redacted (F3-S53, F3-S55)"
business model and revenue mechanism,availability payment untied to units shipped,would need a payer entity and a readiness price the model does not contain,contract insufficiency,"F10-S21, F10-S19",FHWA P3 concessions; NHS England delinked antimicrobial subscription,none,"four counsel questions gate this (anti-kickback, antitrust after the 2023 safety-zone withdrawal, 340B and Medicaid rebate mechanics, FAR Part 16)"
business model and revenue mechanism,software subscription per site or per batch,"no service mechanism changes; only deviation_rate_factor and investigation_duration_factor are available, and they touch the quality workflow only",none binding; deviation and investigation duration only,"F2-S01, F2-S05, LQBR-S14, LPMS-S05","Korber PAS-X (over half the top 30), Veeva, MasterControl, Tulip, Leucine",none,"the protocol forbids an OS effect on release time or capacity, so software cannot reach any binding mechanism in this engine"
business model and revenue mechanism,laboratory testing service fee (hub laboratory),moves QC cost off the site ledger; does not change release latency unless the method changes,fixed quality cost,"F4-S24, Lreg-S5, F4-S11",Creative Testing Solutions (five donor-testing labs); contract labs recognised by 21 CFR 207.1,G05,value is bounded because the large 503B operators already run rapid sterility on site (prior-art review 6.5)
business model and revenue mechanism,grant or cost-plus government funding,capital arrives without a contribution margin; the break-even calculation stops meaning anything,"none; it relieves capital, not service","F13-S05, F13-S44, LGOV-S18, LNPM-S09, LNPM-S11",Phlow (cost-plus-fixed-fee); APIIC and Antheia readiness grants; Virginia to Civica,none,"not a durable revenue mechanism; Phlow was still not profitable as of May 2026, six years into a 2020-2030 contract, though its spokesman says it is on track (LNPM-S09, LNPM-S11)"
facility architecture,single large conventional plant,"one site, one common-cause geography group; capacity above scale 1.05 waits capacity_expansion_days (365 d)",capacity shortfall; low utilization (favourably),"F1-S37, F1-S39, LSIM-S16, F13-S41",Civica Petersburg; Nexus; Jubilant Spokane,"G01, G02, G03","greenfield timelines observed in the landscape run to years, not months (landscape section 5)"
facility architecture,small gloveless isolator workcell,small batch_size_units at a high batches_per_year; node capacity is quadratic in capacity_factor unless the generic builder is used (MD-8),capacity shortfall (marginal); insufficient surge headroom,"F1-S48, F1-S49, LAMD-S14, LAMD-S16, LAMD-S17",Cytiva SA25/Microcell (65+ sold); Syntegon Versynta; SKAN VarioSys; Steriline,"G03, G04, G13",hardware novelty cannot be claimed; purchase-to-GMP is 6 to 15 months for the workcell alone (LAMD-S16)
facility architecture,prefabricated cleanroom POD inside a shell building,shortens commissioning_days relative to a greenfield build but not the regulatory tail,commissioning delay,"F14-S22, F14-S23, F14-S27, LAMD-S18","G-CON with Pfizer PCMM, Just-Evotec, NIIMBL Project Blackhawk","G02, G03",no POD is documented hosting an inspected sterile fill-finish line for an approved injectable
facility architecture,trailer or container mobile cleanroom,"would need a mobility clock, requalification after movement and a registration state per unit; none exists in the engine",commissioning delay (claimed); none demonstrated,"F14-S30, F14-S31, F14-S52, F14-S41, LAMD-S19",Germfree (100+ mobile cleanrooms since 2015); Odulair; KeyPlants for Ferring; BioNTainer,"G02, G13","family 14's verdict is that the qualification and release clock restarts after a move, so mobility is slower than shipped inventory"
facility architecture,hospital-hosted point-of-care unit,serves one region only; would need a per-hospital demand model rather than four regions,inventory timing; insufficient surge headroom,"F1-S40, F1-S43, F14-S33, F14-S34, LGOV-S34",On Demand Pharmaceuticals with Germfree at North Mississippi Health Services (503A pilot),"G01, G02, G13","the pilot ran under 503A, not under an approved application; roughly 12,000 syringes in six months"
facility architecture,leased or reserved suite inside an already registered plant,exists_at_t0 true with commissioning_days near zero; buys registered capacity instead of building it,commissioning delay; capacity shortfall; insufficient surge headroom,"F3-S11, F3-S18, LCDM-S3, LCDM-S17",every CDMO reservation; BARDA FFMN and the 2021 CDMO network,"G02, G07",the decomposition puts this at exactly 0.000000 commissioning delta against a 730 d build (pre-R004 run)
facility architecture,no facility at all (contracts and coordination only),no site rows; every service mechanism runs through partners' capacity and through inventory,contract insufficiency; commissioning delay (avoided),"F3-S23, F3-S25, F3-S29","Civica 2018-2023, which then reversed and built Petersburg",G01,GAO records contamination control as a stated reason for the reversal; the asset-light form is documented to be unstable
node size,micro (batch under about 0.1x the central batch),node_scale about 0.1; fixed quality cost per unit rises roughly as the inverse of scale,none; it worsens fixed quality cost and low utilization,"LAMD-S16, F1-S49",Syntegon Versynta microBatch (120 to 500 containers/hour),"G03, G13","media-fill and cleaning-validation economics set a minimum campaign size nobody has published (F6-S11, F6-S04)"
node size,"small (node_scale about 0.2 to 0.4, the frozen default)",the value the frozen S5 and S6 designs use; four nodes at 0.35 do not cover the sodium bicarbonate deficit,capacity shortfall (partially); inventory timing (stock is closer to demand),"F1-S48, LAMD-S14",Cytiva SA25 class installations,"G03, G13",distributed nodes are the worst-performing build architecture in the run for sodium bicarbonate (pre-R004 run)
node size,mid (node_scale about 0.5 to 1.0),raises capital and fixed cost per node while cutting the number of nodes needed for the same capacity,capacity shortfall; low utilization,"F6-S28, LCDM-S5",Gland (28 lines); GRAM,G03,"no source gives minimum economic scale for generic sterile fill-finish (prior-art review, family 12 row)"
node size,equal to the central plant,a second full plant; doubles the fixed quality and validation blocks unless they are shared,capacity shortfall; common-cause failures (if genuinely independent),"F6-S26, F6-S27, LSIM-S12","Fresenius Melrose Park (250 products, 160M vials/yr); Hikma","G02, G03, G13","24.1% to 33.0% of annual cost is fixed quality and 4.7% to 18.0% is replicated validation, both per site (pre-R004 run)"
node size,expansion of the incumbent line above the status-quo scale of 1.05,"capacity_factor above 1.05 is an expansion and waits capacity_expansion_days (365 d, tier 5) since R004",capacity shortfall; insufficient surge headroom,"LSIM-S11, LSIM-S10, LSIM-S12",Hikma ($1B by 2030); Baxter (over $2.5B in a decade); Fresenius (over USD 250M),"G02, G03",instant_expansion restores the pre-R004 free instant capacity and is for a labelled sensitivity only
network topology,single central site serving all regions,one site row; delivery_days to every region; no cc_os or cc_quality node group,none; it is the reference topology,"F1-S37, LSIM-S1",the status quo for almost every US generic injectable,"G01, G03",sodium bicarbonate S0 is capacity-short by construction at status_quo_utilization 1.245
network topology,"central plus N regional nodes, each serving its own region",serves=own_region; a stockout in one region cannot be covered by another except through emergency_transfers,inventory timing; insufficient surge headroom,"F1-S11, F1-S16, F1-S28",PET producers under 21 CFR 212; multi-site 503B operators; UK modular manufacture,"G13, G14","the frozen S5 and S6 shape; every node shares cc_api, cc_vial, cc_os and cc_quality"
network topology,central plus N regional nodes serving all regions (pooled),serves=all; pools node capacity against regional demand shocks at the cost of longer lanes,insufficient surge headroom; demand covariance,"F6-S26, F4-S12",any multi-site manufacturer shipping nationally; QuVa forward distribution centres,"G13, G14",pooling is available in the engine through the serves field and is not exercised by any frozen strategy
network topology,"hub producing bulk solution, spokes filling",an extra_supplier with its own lead time feeding the fill sites; the hub becomes a new single point of failure,fixed quality cost; replicated validation cost; commissioning delay (spokes are simpler),"F4-S2, F4-S3, F4-S4, Lreg-S8, Lreg-S13, F5-S16",Pfizer/BioNTech (Andover to Kalamazoo and Puurs); Moderna with Lonza and Catalent,"G02, G03, G05, G06",no approved US example located for an aqueous small-molecule injectable; EMA expects refiltration if bulk is not filled within 24 hours
network topology,central quality laboratory serving distributed production,moves QC cost off each site; release latency unchanged unless the method changes,fixed quality cost; replicated validation cost,"F4-S3, F4-S24, Lreg-S3, Lreg-S5",Pfizer central labs at Chesterfield and Andover; Creative Testing Solutions,"G05, G13",21 CFR 207.1 recognises control and contract laboratories; no FDA requirement that sterility testing occur on the fill site was found
network topology,virtual network of third-party registered sites,cdmo_reserved site plans with activation_lead_days and activation_failure_probability; no Telo capital,commissioning delay; capacity shortfall; contract insufficiency,"F3-S11, F3-S18, F3-S1, F3-S21, F3-S28",BARDA FFMN 2013 and the 2021 CDMO network; EU FAB; CEPI VMFN,"G01, G02, G07",independence is not free: partners sharing an API source stay in the same common-cause group
network topology,two sites inside one region (intra-region redundancy),since R005 nodes may exceed the region count and are placed round-robin; a second node in a region joins that region's geography group,common-cause failures (weakly); insufficient surge headroom,"F7-S12, F7-S13",large operators with two lines on one campus,G13,"redundancy inside one region buys less than redundancy across regions, by construction"
network topology,"coordination layer across independently owned sites, no Telo site",not representable: the engine has one owner and no cross-owner entity,contract insufficiency (in principle),"F2-S63, F2-S64, F3-S19, F3-S32, F3-S40",none found; HDA reports the federal control tower has no two-way communication,none,"a contracting and antitrust problem before it is a software problem (Sherman Act, DOJ/FTC monitoring)"
manufacturing step owned by Telo,API synthesis,would need an internal API supplier with its own capacity and disruption draw; today API is an external Supplier with a lead time,supplier concentration; common-cause failures on the API group,"F9-S17, F9-S19, LAMD-S07, F13-S29",Phlow; API Innovation Center; Bright Path Laboratories,"G01, G03","API onshoring is orthogonal to both dominant documented shortage causes (prior-art review, does-not-survive list)"
manufacturing step owned by Telo,bulk solution compounding and sterile filtration,"the hub half of a hub-and-spoke; representable only as an extra_supplier with a lead time, with no hold-time expiry",fixed quality cost; replicated validation cost,"Lreg-S13, Lreg-S15, F5-S16, F5-S10",no implemented US example located for an aqueous small-molecule injectable,"G03, G04, G06",a multi-day bulk hold is the unresolved regulatory question (prior-art review section 7 item 3)
manufacturing step owned by Telo,aseptic fill-finish,the site archetype the whole engine is built around,capacity shortfall; insufficient surge headroom,"LSIM-S1, LCDM-S3, F6-S26","Pfizer/Hospira, Fresenius, Hikma, Simtra, GRAM","G02, G03, G04",capex observed in the landscape ranges from $100M to over $1B per expansion
manufacturing step owned by Telo,"terminal sterilization only, as a contract step",adds a transport leg and a queue after filling; would need a post-fill stage the engine does not model,"sterility-related delay (through the route, not through the step)","F4-S21, F11-S02",contract terminal sterilizers,G04,"only meaningful for a product whose route is terminal, which is dimension 'sterilization/release route'"
manufacturing step owned by Telo,"labeling, packaging and final configuration",a postponement step with no sterile exposure; not representable without a multi-SKU model,demand variance; demand covariance,"F4-S22, F4-S18, Lreg-S11, Lreg-S12, F5-S08",PCI packaging centres; Sharp; Civica label-and-NDC; 503B repackaging,G06,"21 CFR 211.130(b) has permitted late labeling since 1978; the constraint is identification control, not the concept"
manufacturing step owned by Telo,QC testing and release only,"changes where cost sits, not when product is released, unless the method changes",fixed quality cost,"F4-S24, F4-S11, Lreg-S5, F4-S14",Creative Testing Solutions; ScanRDI at QuVa; SCA rapid sterility,G05,the hub-lab intervention point is real but bounded (prior-art review 6.5)
manufacturing step owned by Telo,no manufacturing step (coordination or software only),the engine offers deviation_rate_factor and investigation_duration_factor and nothing else,none binding,"F2-S33, F2-S37, F2-S38, F2-S43","Vizient, Premier ProvideGx, Bluesight, USP Medicine Supply Map",none,the money in shortage response already flows to these vendors
manufacturing step owned by Telo,inventory holding and distribution only,"region_base_stock, region_reorder_point_days and safety_stock_days with no site of Telo's own",inventory timing; insufficient surge headroom,"F10-S24, F8-S03, F4-S12, F8-S10",DLA Warstopper VMI; SNS VMI; QuVa forward DCs; Vizient NES,G06,the frozen regional review rule is the single largest service lever in the whole ablation (MD-3)
"regulatory ownership (application holder, quality unit)",Telo holds the application and a resident quality unit at every site,fixed quality cost and validation cost replicate per site; gate G13 applies per unit,none; it is the cost-maximal option,"F1-S11, F6-S26",conventional multi-site manufacturers,"G01, G02, G03, G13",24.1% to 33.0% of annual cost sits in this block and no service mechanism touches it (pre-R004 run)
"regulatory ownership (application holder, quality unit)",Telo holds the application; one quality unit spans every unit (DME-style),"would let fixed_cost_factor fall below 1 legitimately; the engine has no shared-quality-unit object, only a per-site multiplier",fixed quality cost; replicated validation cost,"Lrepo-S2, Lrepo-S6, LQBR-S25, LAMD-S25, F14-S02",nobody for approved sterile injectables; the DME rule is proposed only,"G13, G14","the proposal requires one management, a unified quality system and a single legal entity registrant, and excludes contract units"
"regulatory ownership (application holder, quality unit)",a partner holds the application; Telo is a listed contract site,"gates G01 and G02 move to the partner; Telo's commissioning is a supplement, not an application",commissioning delay; regulatory unavailability,"F3-S52, LCDM-S14, F3-S11",every merchant CDMO relationship,"G02, G07",data rights and channel conflict are the price; neither is in the model
"regulatory ownership (application holder, quality unit)",Telo is an own-label distributor of a partner's product,no manufacturing entity at all; only inventory and contracts remain,inventory timing; contract insufficiency,"F4-S18, F3-S52",Civica over Xellia's ANDA,G01,this is a distribution business with a manufacturing story attached; say so if proposed
"regulatory ownership (application holder, quality unit)","503B outsourcing facility registration, no approved application",pathway 503b; the validator refuses durable=true; eligibility is a time-varying state driven by the shortage listing,regulatory unavailability (it creates it); capacity shortfall (short term),"L503B-S02, L503B-S03, L503B-S07, F1-S16, F1-S65",97 registered facilities on FDA's table 8/28/2026,"G08, G09, G10, G11, G12",no injectable is on the 503B bulks list and FDA does not treat backorders as clinical need; never a durable core
"regulatory ownership (application holder, quality unit)",no regulatory status (software or data vendor),"no gate applies to Telo, but records the product generates are GMP records for the customer",none binding,"F2-S52, LQBR-S04, LPMS-S05","Veeva, Korber, MasterControl, Tulip, Leucine",none,Warning Letter 320-26-58 is the first documented enforcement applying 21 CFR 211.22(c) to AI-generated GMP records
"regulatory ownership (application holder, quality unit)",a government body or nonprofit holds the licence,capital and default risk move to the public balance sheet; Telo becomes an operator,contract insufficiency; capacity shortfall,"F13-S46, F13-S38, F13-S22, F13-S23",California CDPH is the named manufacturer on BabyBIG STN 125034; seven US nonprofit drug companies,"G01, G02",one orphan biologic does not generalise to a multi-product generic portfolio; five nonprofits told GAO their exempt status is threatened
role of the OS,none,no OS entity; sites do not share cc_os,common-cause failures (removes the shared-OS group),F1-S11,the status quo,none,"worth stating: a shared OS version is itself a common-cause group in this model, so the OS has a negative service term"
role of the OS,electronic batch record and MES documentation wedge,no representable effect; the protocol forbids an OS effect on release time or capacity,none binding,"F2-S01, F2-S05, F2-S04, F2-S07, LPMS-S05","Korber PAS-X, Siemens, Emerson, Rockwell, MasterControl, Tulip, Apprentice, Leucine",none,a crowded market with a stated incumbent weakness (Rockwell concedes MES is expensive and slow to implement)
role of the OS,deviation and CAPA orchestration,"deviation_rate_factor and investigation_duration_factor, which touch the quality workflow only, never release time or capacity",deviation and rejection (non-binding in Phase A),"F2-S15, F2-S16, F2-S23, F2-S24","Veeva (300+ customers), Sparta TrackWise, MasterControl, ValGenesis",none,the deviation mode is statistically resolved in 9 of 16 cells and flips none of them
role of the OS,campaign scheduling inside one owner,"would need multi-product campaigns and changeover, which the engine does not have",low utilization; capacity shortfall (through throughput),"F2-S84, F2-S14, F6-S39, F6-S04","Werum/sedApta, Leucine (one instance across 30 Cipla sites), Apprentice",none,MILP and RTN scheduling formulations are published; a fill-finish scheduler with media-fill and cleaning-validation constraints is not
role of the OS,capacity coordination across independent owners,not representable; the engine has one owner,contract insufficiency; capacity shortfall (in principle),"F2-S63, F2-S64, F2-S32, F2-S26, F3-S19","none live; Axio Lattice in development, L7 EXCHANGE estimated 2027",none,"the barrier is antitrust and the absence of a payer, not software"
role of the OS,drift detection and mandatory-hold decision support,release stays conventional; the model would need a hold-decision channel that does not shorten release,none binding,"F2-S20, F2-S17, F2-S19, F2-S57, F2-S48","Sartorius SIMCA-online, Aizon, Basetwo, Quartic sell the monitoring half today",G15,"the open part is a validated abstention mechanism and per-site validity, which are instruments rather than products"
role of the OS,"internal control system for Telo's own network, not sold",no revenue; keeps cc_os as a shared group across Telo sites,none binding; it adds a common-cause group,"F2-S14, F2-S09, F2-S71",Leucine at Cipla; Apprentice CMN; Pfizer's internal programme,none,"this is the honest form of the OS in a manufacturing architecture: an internal cost, not a product"
role of release assurance,none; conventional compendial release (R0),"the frozen release component vector; sterility 14 d is the argmax, plus about 2 d serial QA",none; release is not binding,"F11-S01, F11-S41",every approved sterile injectable released on USP <71>,G05,the frozen release-constraints memo misquotes the 2004 guidance on this point and should be corrected (prior-art review 5.1)
role of release assurance,validated analytical release of chemical attributes (R1/R2),removes at most 2 of 16 release days; worth at most +0.002114 fill anywhere in the run (pre-R004 run),release queue (non-binding),"F1-S69, F11-S30, F11-S08, LR-S01",RTRT is mature for oral solid dose; no sterile injectable precedent,G15,S6 is numerically identical to S5 on every service metric and costs 2.7M to 3.1M USD/yr more (pre-R004 run)
role of release assurance,validated rapid microbiological method for the sterility test,"would cut the sterility component from 14 d toward about 5 d; a labelled validated-rapid-micro scenario, never a silent reduction",sterility-related delay,"F11-S28, F11-S34, F11-S35, F11-S37, F4-S11, F4-S14","Novartis (FDA, EMA, MHRA acceptances 2008-2010); ScanRDI at QuVa; SCA","G04, G05, G11","Novartis quantified a residual environmental-monitoring wait after moving sterility to 5 days, so the pole may just move"
role of release assurance,parametric release on a terminally sterilized product,removes the sterility hold rather than compressing it; the only mechanism in the sweep that does,"sterility-related delay (removed, not compressed)","F11-S02, F11-S03, F11-S25, F11-S46",FDA-approved applicants since 1985 under CPG 490.200,G04,"FDA's QbR FAQ ties the abbreviated route to the identical facility, autoclave, container-closure, parameters and load patterns, so it may be a per-site asset"
role of release assurance,release before the sterility result under a notification protocol,"not available for the archetypes in scope; PET, short-lived radiopharmaceuticals and the 503B at-risk table only",sterility-related delay (only inside those pathways),"F11-S09, F11-S11, F11-S21, F11-S45",21 CFR 212.70(e); 211.165(a); PROVENGE; 503B Appendix B Table D,G11,the 503B version prices the aseptic-versus-terminal choice at 6 versus 14 days of at-risk dating
role of release assurance,selective prediction with abstention as decision support only,no release component changes; abstention is never counted as release,none,"F2-S57, F2-S48, F11-S41",no vendor found selling one under the FDA AI credibility framework or draft Annex 22,G15,the current gate is not operationally useful at its observed risk-coverage frontier; that finding stands
role of release assurance,site-conditional model validity offered as cross-site equivalence evidence,would enter through G14 rather than through release time,"common-cause failures (weakly, as evidence of equivalence)","F3-R1, F3-R3, F3-R4, F14-S64",Telo research only; no external precedent,G14,a reviewer may find that per-site conformal coverage is not comparability evidence; that is the falsifier
level of centralization,fully centralized manufacture and release,"one site, one quality unit, one geography group",fixed quality cost; replicated validation cost (both minimal),"F1-S37, LSIM-S1",the status quo for US generic sterile injectables,"G01, G03",concentrates common-cause exposure in one geography
level of centralization,centralized manufacture with regional inventory,region_base_stock or region_reorder_point_days with a single production site,inventory timing; insufficient surge headroom,"F8-S10, F8-S11, F4-S12, F8-S32",Vizient NES supplier-held onshore stock; QuVa forward DCs; Germany's six-month obligation,G06,"the cheapest lever that reaches the target in the run, and the one most contaminated by MD-3"
level of centralization,centralized bulk with regional finishing,hub supplier plus fill sites; the bulk hold time is the unmodelled constraint,fixed quality cost; commissioning delay (spokes),"F4-S2, F4-S4, F5-S16, Lreg-S13",Pfizer/BioNTech; Moderna with Lonza and Catalent,"G03, G04, G06",no approved US aqueous small-molecule example located; family 4 calls this its most decision-relevant gap
level of centralization,centralized quality and release with distributed manufacture,"one quality unit, several sites; not representable as a shared object, only as a per-site cost multiplier",fixed quality cost; replicated validation cost,"F4-S3, Lreg-S3, Lreg-S5, Lrepo-S2",Pfizer central labs; the DME proposal (not final),"G13, G14",PharMEDium is the documented warning about one quality organisation spanning several sterile sites under stress
level of centralization,fully distributed with per-site release,each site releases its own product; every site carries its own quality and validation cost,inventory timing; insufficient surge headroom,"F1-S11, F1-S16, F1-S14, F1-S28",PET producers under 21 CFR 212; multi-site 503B operators,"G03, G13, G14",this is the architecture the run scores worst for the capacity-short product
level of centralization,distributed manufacture that Telo does not own,"cdmo_reserved plans; Telo holds contracts, packages and coordination",commissioning delay; capacity shortfall; contract insufficiency,"F3-S11, F3-S1, F3-S21, F3-S23",BARDA FFMN; EU FAB; CEPI VMFN; Civica 2018-2023,"G01, G02, G07",activation latency and qualification burden replace commissioning; neither is free
contracting mechanism,spot sale or GPO award with no commitment,"ContractTerms.mechanism=spot; committed_units_per_year is zero, so no fixed cost is covered",none; it is the mechanism that fails the contractability test,"LSIM-S20, LCDM-S14, LSIM-S18",the default in US generic injectables,none,the standard shape puts committed capacity obligations on the maker without minimum purchase on the buyer
contracting mechanism,take-or-pay minimum volume,take_or_pay_fraction charges a share of the reserved line whether or not it runs; sets minimum contracted utilization,contract insufficiency; low utilization,"F10-S01, F10-S02","Civica minimum viable volume contracts (about 50% of expected volume, 3 to 10 years)",none,"the contract text is not public, so whether the MVV is a take-or-pay or a forecast is unverified"
