claim_id,claim_text,where_stated,audience,evidence_status,evidence_pointer,allowed_external_wording,owner,last_checked
C011,89% of in-spec tablets released in real time at a verified 93% coverage / verified >=90% guarantee / best at a genuine guarantee,"page.jsx:126, :266-267, :319; research.js:14-20 HEADLINE, :34, :52-53 CAPABILITIES; figures.jsx:57; Charts.jsx:131; Benchmark.jsx:119; research.js:104 ('at a verified 90% guarantee'); research/conformal/artifact/release-layer.html (working tree):296 ('at a verified 93% coverage'), 297, 299, 339",public web,numbers supported as measurements; 'verified/genuine >=90% guarantee' contradicted,benchmark_summary.json methods.ours_best release_yield=0.8917 coverage=0.9277 mean_width_mg=10.53 false_release=0.0054 (100 seeds); guarantee_summary.json methods.cvplus_10fold_alpha0.1.proved_floor=0.7150; methods.rrcm_full_conformal proved_floor=0.90 coverage=0.95 release_yield=0.8688 false_release=0.0028; exchangeable_split_diagnostic cvplus.coverage=0.9075 rrcm.coverage=0.9048; benchmark_exchangeability.exchangeable=false (KS p=3.4e-7); working-tree README:68-75 retraction; docs/design_space/public_claims_corrections.md C011 and W3,"CV+ released 89.2% of in-spec tablets at a measured 92.8% coverage, but its proved finite-sample floor at n=155 is 71.5%; at a proved 90% floor (full-conformal ridge) release yield is 86.9% with 0.3% of released tablets out of specification; measured coverage on the official split is inflated 2-4 points by a non-exchangeable split",Rikhin Kavuru,2026-09-02
C012,website benchmark comparator rows (RTRT 85.4/94.2/13.0; MAPIE split 81.1/95.7/17.7; MAPIE CV+ 88.1/93.7/11.4; jackknife+ 90.3/89.8/10.2; crepes 55.1/93.5/60.1) and 'matches ours to 0.48 mg',research.js:29-33 and :108-115; page.jsx:266; Benchmark.jsx:119; research/conformal/artifact/release-layer.html (working tree):323 (jackknife+ 89.9%; 'within 0.5 mg'),public web,contradicted (rows match no stored JSON; superseded 110-unit-budget run),"benchmark_summary.json methods (yield/coverage/width): rtrt_fixed 0.8438/0.9668/13.45; mapie_split 0.8426/0.9421/15.26; mapie_cv 0.8922/0.9279/10.51; mapie_jab 0.9032/0.9080/9.78; crepes_norm 0.6601/0.9341/38.73; ours_best 0.8917/0.9277/10.53; ours_rrcm 0.8688/0.95/12.23; cvplus_vs_mapie_mean_width_gap_mg=0.3446 (README says 0.50, site 0.48); working-tree README:124-127 on the corrected comparator budget; docs/design_space/public_claims_corrections.md C012",use the benchmark_summary.json rows: RTRT 84.4/96.7/13.5; split 84.3/94.2/15.3; CV+ 89.2/92.8/10.5; jackknife+ 90.3/90.8/9.8; crepes 66.0/93.4/38.7; RRCM 86.9/95.0/12.2 (proved 90%); our CV+ intervals match MAPIE's within 0.5 mg,Rikhin Kavuru,2026-09-02
C013,every hyperparameter is selected by cross-validation on calibration data alone,page.jsx:193-194 (and :240),public web,contradicted for the drift experiments; supported for the release-yield benchmark,"research/conformal/experiment_tablet.py:23 N_PLS = 8 hard-coded (comment: 'chosen by held-out R2 on instrument 1 (R2~0.90)'), no selection code; corn summary.json config.n_pls=12 fixed; 03 audit section 4 sweep argmax 4 (R2 0.907 test / 0.956 hold-out) vs 8 (0.878 / 0.935); feasibility CV mode ra_20260902T044654Z (mean 4.1 components, no standardization) metrics.shift: empirical_coverage 0.717 vs 0.410, released_fraction 0.561 vs 0.010, conditional_error_among_released 0.290 (reproduction mode ra_20260902T045127Z); benchmark_summary.json config.lasso_alpha=0.5796 (CV); sota_summary.json config.pls_grid/prep_grid; working-tree README:90 ridge penalty CV then fixed; docs/design_space/public_claims_corrections.md C013","point-model hyperparameters in the release-yield benchmark are selected by cross-validation on the calibration tablets; the drift experiments use a fixed component count (8 tablets, 12 corn) set before the runs; with CV-selected components the shifted coverage was 72% (vs 41%) and the gate released 56% of shifted tablets (vs 1%) at 29% conditional error",Rikhin Kavuru,2026-09-02
C014,Phlow BARDA contract worth up to $812M [V] vs $696.7M,"docs/startup-outline.md:113 and :160 ($812M, [V]); funding/emergent-ventures-proposal.md:37 ('up to $812 million'); funding/deck/telo-deck.html:375 and funding/deck-prompt.md:55 ($696.7M)",public GitHub / grant / deck,both supported with different meanings; the [V] on $812M needs 'ceiling',"feasibility/data/raw_snapshots/S27/2026-09-01/usaspending_phlow.json results[1]['Award Amount']=696665953.98, recipient PHLOW CORP., start 2020-05-18, end 2027-01-13 (contract 75A50120C00092); press release ceiling $812M = $354M base + $458M options (docs/audits/05_inconsistencies.md I-C6; HA-19); docs/design_space/public_claims_corrections.md C014","Phlow's 2020 HHS/BARDA contract shows $696.7 M on USASpending (75A50120C00092, checked 2026-09-01); the announced ceiling including options was $812 M",Rikhin Kavuru,2026-09-02
C015,The operating system for sterile drug manufacturing / the moat is the operating system,telo-web/src/app/layout.jsx:5 and :9; src/data/content.js:4-5; page.jsx:331-332; funding/deck/telo-deck.html:315,public web / deck,contradicted by the company's own deck brief (deck-prompt.md:61); unsupported as a description of an existing product,"os/quality-intelligence/README.md:3 ('one of four' components of 'the Telo plant operating system') and :335 ('Advisory. Not a batch release decision.'); docs/roadmap.md:29 (no wet lab, no sterile injectable, no Telo spectra); funding/deck-prompt.md:61: (Do NOT call it a 'manufacturing OS.'); I-C13 confirmed; the website headline (layout.jsx:5, 9; content.js:4-5) and deck html:315 contradict the company's own deck brief; docs/design_space/public_claims_corrections.md C015","software in development for sterile drug manufacturing, or: a release-decision support layer; never paired with 'automates the release decision'",Rikhin Kavuru,2026-09-02
C016,Telo Research · Preprint,page.jsx:108,public web,unsupported (no preprint posted),paper/SUBMISSION.md items 1-6 (not submitted; code archive and DOI do not exist); root CLAUDE.md:74-75 'COMPLETE and NOT SUBMITTED'; docs/design_space/public_claims_corrections.md C016,Telo Research · Technical note (manuscript in preparation),Rikhin Kavuru,2026-09-02
C017,within 2.4 points of the information-theoretic ceiling,"page.jsx:131, :277-286 (argument and Figure 3 caption), :320 (closing box); research.js:89-95, :133, :137-138",public web,contradicted as 'information-theoretic'; 2.4 is the more favourable of two constant-width oracles,frontier_summary.json constant_width_oracle.symmetric.spec_yield=0.9158 minus cvplus_deployed.spec_yield=0.8917 = 0.0241; gap_to_constant_width_floor.yield_points=0.0489 vs min_width oracle 0.9406; config.note 'oracle rows peek at test labels -> lower bounds only'; max_possible_adaptive_gain_mg=1.595; working-tree README:482-486 retraction; docs/design_space/public_claims_corrections.md C017,"2.4 yield points below the symmetric constant-width oracle for this point model (4.9 below the minimum-width oracle); the oracle bounds constant-width methods only, and measured adaptivity headroom is at most 1.6 mg of width",Rikhin Kavuru,2026-09-02
C018,the strongest models agree to 0.68 mg while missing labels by 4.1 mg; what is left is the reference assay's own noise; the ~4 mg floor is demonstrated,page.jsx:248-251; research.js:84-85; retracted already in research/conformal/artifact/release-layer.html (working tree):339 and funding/emergent-ventures-proposal.md:31,public web,contradicted by the repo's own later run,pointmodel_summary.json residual_is_reference_noise_claim.verdict='argument invalid; conclusion half right and quantitatively wrong'; reference_method_floor_mg=1.3; residual_is_reference_noise_claim.headroom_mg=2.43; error_floor.top_model_disagreement_mg=0.372; docs/design_space/public_claims_corrections.md C018,the benchmark's reference method is stated at +/-1.3 mg; the deployed model's 4.1 mg RMSE leaves about 2.4 mg of non-reference headroom that a wide model search did not close,Rikhin Kavuru,2026-09-02
C019,"test RMSE 4.8 -> 4.1 mg, R2 0.907 -> 0.931 (PLS to sparse-linear)",page.jsx:246; research.js:81-82,public web,partially traced (4.1 / 0.931 traced; PLS 4.8 / 0.907 untraced),"pointmodel_summary.json previous_version_best.test_rmse=4.129; bestmodel_summary.json lasso_test_r2=0.9305; PLS 4.8 mg / 0.907 not found under any key in pointmodel_summary.json, bestmodel_summary.json or transfer_summary.json (transfer_summary.json tablet.rows[38] rmsep 4.80 / r2 0.9069 is a Lasso PDS transfer row, config.point_model 'Lasso on sg1_snv', not the PLS baseline); the site's 'from ~81%' (page.jsx:247, research.js:91) traces to bestmodel_summary.json pls_cvplus.yield=0.8154; sota_summary.json point_model.sota_r2=0.904 is the nearest stored PLS figure; docs/design_space/public_claims_corrections.md C019 and section 5",sparse-linear regression on derivative spectra reaches 4.1 mg test RMSE (R2 0.931); state the PLS baseline only after point_model_bakeoff.py re-derives it,Rikhin Kavuru,2026-09-02
C020,restores full coverage from nine reference assays,"page.jsx:129, :228-230, Figure 2 :232; research.js:68-75; artifact (working tree):282",public web,supported with caveats (width doubles; multi-site configuration gives 85.5%),"operating_summary.json recal_cost.disjoint[1] n=9 coverage=0.9009 mean_width_mg=48.3 (paired 0.9057); disjoint[0] n=5 no finite interval; site RECAL values match disjoint[1,3,4,6,8]; spec_yield.recal_width 47.8 / home_width 22.9 = 2.1; multisite_summary.json per_site_calibration_budget['9'].coverage_at_new_site=0.855; docs/design_space/public_claims_corrections.md C020","with nine reference assays on the new instrument, marginal coverage returned to 90% at roughly twice the home interval width (48 vs 23 mg); in the multi-site configuration nine assays gave 85.5%",Rikhin Kavuru,2026-09-02
C021,on the corn set 91% coverage becomes ~1%,page.jsx:207; research/conformal/README.md@HEAD:52 and :61,public web,supported,summary.json properties.protein.instruments.m5.naive_coverage.mean=0.9113; mp5=0.0143; mp6=0.0113 (300 seeds); docs/design_space/public_claims_corrections.md C021,"on the corn NIR set (protein), nominal-90% coverage of 91% on the home instrument fell to 1.4% and 1.1% on the two other instruments",Rikhin Kavuru,2026-09-02
C022,0.5% of releases out of specification,page.jsx:126; research.js:17,public web,supported as a measurement; not a certified rate,"benchmark_summary.json methods.ours_best.false_release=0.0054; risk_summary.json rcps_certified['risk<=0.05'].certified_risk_bound=0.0295 (delta 0.05, 100 calibration tablets); rcps_certified['risk<=0.02'].certified=false (reason: 'no gamma in [1.0, 3.0] certifiable at delta=0.05 with 100 calibration tablets'); reference_tablets_needed_to_certify['risk<=0.02'].if_zero_losses=150; reference_tablets_needed_to_certify['risk<=0.01'].if_zero_losses=300; docs/design_space/public_claims_corrections.md C022",0.5% of released tablets fell outside specification (measured); the certifiable bound with the 100 calibration tablets available is 3% at 95% confidence; a 2% bound is not certifiable at that size (150 tablets would be needed with zero observed losses; 300 for 1%),Rikhin Kavuru,2026-09-02
C023,Telo builds and operates automated microplants / Built against FDA PAT guidance / A registered line of your own / One validated recipe per drug,"page.jsx:350; telo-web/src/components/sections/Engagements.jsx:21, :26, :34",public web,"unsupported as present tense (no plant, recipe, or registered line exists)","docs/roadmap.md:29; root README.md:25 'Pre-data, pre-draft'; feasibility/config/regulatory_gates.yaml (15 gates, all UNCERTAIN); protocol.yaml:495 forbids 'FDA-ready'; docs/design_space/public_claims_corrections.md C023","Telo is building ...; tier features stated as planned scope; designed to fit FDA's PAT framework, with no product-specific validation yet",Rikhin Kavuru,2026-09-02
C024,"the theorem behind CV+ only proves 1-2alpha, i.e. 80% / the widely used method proves only 80 percent while measuring 93",research/conformal/artifact/release-layer.html (working tree):323 (its :318 already says 71.5%); funding/emergent-ventures-proposal.md:31,public artifact / grant,contradicted (stale),"guarantee_summary.json methods.cvplus_10fold_alpha0.1.proved_floor=0.7150 (kfold_penalty 0.0850, Barber et al. 2021 Thm 4); working-tree README:70-72 'An earlier version of this README quoted 80% here ... it was wrong'; docs/design_space/public_claims_corrections.md C024",10-fold CV+ at alpha 0.10 proves 71.5% at n=155 while measuring 92.8%,Rikhin Kavuru,2026-09-02
C025,"FDA 2004 aseptic guidance section XI.B says ""the sterility test is an essential element""",regulatory/release-constraints.md:96-98 (marked [V]),internal; load-bearing for the sterility-is-the-pole argument,contradicted by the primary source,"frozen snapshot S07 data/raw_snapshots/S07/2026-09-01/fda_aseptic_processing_2004.pdf, extracted 2026-09-03: the string 'essential element' occurs exactly once in the whole guidance, at section XII, and reads 'Review of environmental and personnel monitoring data ... are considered essential elements of the batch release decision'. Section XI.B says the opposite of the attributed sense: 'Sterility tests are limited in their ability to detect contamination because of the small sample size typically used.' The same memo's other use of the phrase at line 70, attributing the environmental-monitoring sentence to section XII, is verbatim and correct.","Do not quote the sterility-test sentence; it is not in the guidance. The conclusion it was used to support does not depend on it: the 14-day pole comes from USP <71> incubation and from samples being drawn during the fill, and the environmental-monitoring floor is supported by the section XII sentence that is genuine. If a guidance citation is wanted for the limits of end-product sterility testing, section XI.B supports the opposite framing, that the test detects little, which is an argument for process control rather than for the test being essential.",Rikhin Kavuru,2026-09-03
