req_id,source_ref,requirement,category,existing_implementation,gap,planned_module,verification_test,evidence_dependency,status,human_required
R021,protocol 4 intro,Two-path regulatory decision map reviewed by a qualified professional; labeled preliminary,regulatory,config/regulatory_gates.yaml label; regulatory.NOT_LEGAL_ADVICE,decision-map documents not yet written; review not done,docs/regulatory/approved_generic_cmo_map.md; docs/regulatory/503b_shortage_response_map.md,reporting DF07 DF08,regulatory professional,missing,yes
R022,protocol 4.1 items 6-11,Approved-generic/CMO map: owner relationship; site steps in application; submission category; validation set; quality agreement responsibilities; cross-site comparability as a claim,regulatory,gates G01-G07 G13 G14 encode each element,narrative map with Drugs@FDA/Orange Book owner data pending,docs/regulatory/approved_generic_cmo_map.md,DF07,S16 S17 snapshots (frozen),partial,yes: review
R023,protocol 4.2,503B map: registration; bulks eligibility; shortage-list status at compounding/distribution/dispensing; essentially-copy; BUD; labeling; state licensure; time-varying availability,regulatory,gates G08-G12; regulatory.Shortage503BState,narrative map and simulation state machine pending; 503B bulks list snapshot shows sodium bicarbonate NOT included,docs/regulatory/503b_shortage_response_map.md; simulation.py,test_configs_and_regulatory.py (S7 combos); simulation test (planned),S13 S14 S15 snapshots (frozen),partial,yes: review
R024,protocol 4.3,Cite the distributed-manufacturing registration proposed rule as proposed; base case must not depend on it,regulatory,gate G13 legal_basis_type proposed_rule; S11 snapshot (FR API JSON XML PDF),none,config/regulatory_gates.yaml,test_provenance.py::test_gates_load_all_uncertain_and_r3_gate_present,S11,exists,no
R025,protocol 4.4,Hard-gate matrix loaded from configuration; every run records gate outcomes,regulatory,regulatory_gates.yaml (15 gates); RunManifest.gate_outcomes written by cli deterministic,none,regulatory.py; provenance.py,test_configs_and_regulatory.py; manifest inspection,none,exists,no
R026,protocol 4.4 / task 7,UNCERTAIN never treated as PASS; PASS requires named reviewer and date,regulatory,schemas.RegulatoryGate validator; regulatory.evaluate_strategy,none,schemas.py; regulatory.py,test_schemas.py::test_gate_pass_requires_reviewer_and_date; property test,none,exists,no
R027,protocol 5.1,Daily step; five-year horizon; warm-up; weekly sensitivity only after reproducing daily,simulation,SimSettings daily; runner horizon_years/warm_up,weekly-step sensitivity not run,simulation.py,integration test daily vs weekly (planned),none,partial,no
R028,protocol 5.2,Boundary choices frozen: 4 regions (3-8); presentation-specific demand; production scope; upstream suppliers; downstream distribution; quality; regulation; economics,simulation,"strategies.build_strategy topology (4 regions, lanes, suppliers, groups)",region shares equal until data,network.py,config validation test (planned),none,partial,no
R029,protocol 5.3,Five evidence tiers on every parameter,provenance,schemas.EvidenceTier + UncertainParameter validator,none,schemas.py,test_schemas.py tier tests,none,exists,no
R030,protocol 5.4,Assumption register fields (id definition units level distribution dependence source page access date transformation owner confidence validation revision reversible outputs),provenance,schemas.UncertainParameter (all fields); config/global.yaml and products,none,schemas.py,test_schemas.py,none,exists,no
R031,protocol 6 Eq.1,Annual saleable capacity by product and site,deterministic,deterministic.screen_row saleable_capacity,none,deterministic.py,test_deterministic.py::test_replica_row_5_matches_workbook_cached_values,none,exists,no
R032,protocol 6 Eq.2,Utilization planned vs realized,deterministic,realized utilization derivable from batches_started_per_year,not yet reported as a metric,deterministic.py; simulation.py,test_deterministic.py,none,partial,no
R033,protocol 6 Eq.3,Capital recovery factor,economics,economics.crf,none,economics.py,test_economics.py::test_crf_matches_workbook_typed_constants,none,exists,no
R034,protocol 6 Eq.4,Fully loaded cost per delivered nonexpired unit with explicit denominator,economics,deterministic corrected mode cost_per_unit over delivered_units; CostLedger.per_delivered_unit,simulation denominator pending,economics.py; deterministic.py,test_deterministic.py::test_corrected_variant_caps_delivery_and_uses_delivered_denominator,none,partial,no
R035,protocol 6 Eq.5,Response time = material + setup + production + release + delivery with overlap only where valid,deterministic,release_assurance.conventional_release_days (max of concurrent + serial QA); simulation queues,none,deterministic.py; simulation.py,test_deterministic.py,release-time components (tier 1 from repo memo),exists,no
R036,protocol 6.1,Nine cost ledgers itemized,economics,"simulation ledgers: capital, fixed, launch, variable, testing+investigation, waste, inventory+distribution, reservation, OS",cost evidence tier 5,economics.py,test_economics.py::test_ledger_total_and_per_unit,cost evidence (HA-12 HA-13 HA-14),partial,yes: quotes
R037,protocol 6.2 Eq.6,Break-even contracted volume,economics,economics.break_even_volume,surface over node count/size/utilization pending,economics.py; optimization.py,test_economics.py::test_break_even_and_premium,price and cost evidence,partial,no
R038,protocol 6.2 Eq.7,Required resilience premium with payer stated,economics,economics.resilience_premium,payer field in reporting pending,economics.py; reporting.py,test_economics.py,contract evidence,partial,no
R039,protocol 6 / task 10,Automated reconciliation of Python vs workbook with tolerance; investigate every difference,deterministic,deterministic.reconcile_screen/dashboard; cli reconcile; results/deterministic/reconciliation.json (448/448 match),none,deterministic.py,tests/regression/test_workbook_reconciliation.py,none,exists,no
R040,task 10,Deterministic model labeled screening/audit layer with illustrative outputs banner,deterministic,PRELIMINARY_BANNER in cli deterministic; ScreenRow.illustrative,none,deterministic.py; cli.py,test_deterministic.py (illustrative flag),none,exists,no
R041,protocol 7 / 7.1,Discrete-time network simulation with listed state variables,simulation,"simulation._Sim state (book, backlog, transit, queue, materials, counters)",none,simulation.py,tests/integration (planned),none,exists,no
R042,protocol 7.2,Nine-step daily event order,simulation,simulation._Sim.run nine steps,none,simulation.py,test each step function (planned),none,exists,no
R043,protocol 7.3,Paired simulation loop: sample structural params; shared streams; per-strategy reset; assert; log; write metrics,simulation,"simulation.run_paired; runner.run_simulation (multiprocess, tidy CSV, summary with MCSE and paired differences)",none,simulation.py,test_seed_reproduction (planned),none,exists,no
R044,protocol 7.4,Separate reproducible streams (11 named); dependence via cause groups not a correlation coefficient,simulation,rng.RunStreams entity-keyed; 11 streams,none,disruptions.py,test_entity_isolation (planned),none,exists,no
R045,protocol 8.1,Demand: hierarchical regional shares; nonnegative variability; seasonality; autocorrelation; shocks (joint magnitude duration correlated regions); allocation distortion; contracted vs potential; substitution matrix,demand,demand.DemandSpec lognormal AR(1) + seasonality + shocks; contracted share and substitution fields disabled,negative binomial and block bootstrap alternatives; substitution matrix,demand.py,tests/unit/test_demand.py moments/PPC (planned),utilization evidence (HA-11); pharmacist substitution review,partial,yes
R046,protocol 8.1 / task 12,Distribution choice by posterior predictive checks holdout and structural sensitivity not in-sample fit,demand,demand.demand_moments for PPC,PPC against data pending (no data),demand.py; sensitivity.py,test (planned),demand data,partial,no
R047,protocol 8.2,Disruption classes: site quality supplier common-cause demand-surge regulatory with parameters,disruption,"disruptions.generate_world (site, supplier, common cause, demand shock, regulatory)",quality events are per-batch (quality.py),disruptions.py,tests/integration/test_extremes.py (planned),historical episodes; expert ranges,exists,yes
R048,task 13,Explicit dependency graph across sites API excipient vial stopper labs methods equipment software geography utilities ownership regulatory,disruption,"network.CommonCauseGroup + strategies default groups (API, vial, OS, quality, geography)",supplier map from evidence,network.py,test (planned) group membership drives joint failure,supplier map (HA-12),partial,yes
R049,protocol 8.3,FEFO inventory by age and location; carrying and expiry paid; stock must exist before disruption,inventory,inventory.InventoryBook FEFO with expiry cohorts; initial stock must exist before disruption,none,inventory.py,tests/unit/test_inventory.py FEFO (planned),shelf-life labels (S18 S22 S23 frozen),exists,no
R050,protocol 8.3,Allocation policies proportional criticality-weighted minimum-guarantee optimization; regional equity reported,allocation,"allocation.allocate (proportional, criticality, minimum guarantee, LP); regional_disparity",policy sensitivity not yet run,allocation.py,tests/unit/test_allocation.py (planned),none,partial,no
R051,protocol 8.4,Recovery = sustained service above threshold for window; report first response stable recovery unmet area peak probability by date,simulation,"simulation.episodes (first response, stable recovery 30 d, unmet area, peak)",probability by date pending,simulation.py; reporting.py,test recovery metrics (planned),none,partial,no
R052,protocol Eq.8 Eq.9,Inventory and backlog recursions by product presentation location cohort,simulation,simulation step5 backlog recursion; inventory book,none,inventory.py; simulation.py,mass-balance property test (planned),none,exists,no
R053,protocol 9 box,Release-assurance evidence boundary stated; R3 disabled by default,release-assurance,release_assurance.ReleaseAssuranceParams (R3 refused unless permitted),none,release_assurance.py,test_configs_and_regulatory.py::test_r3_requires_s6_eligible_and_g15_pass,none,exists,no
R054,protocol 9.1,Four scenarios R0-R3 with exact treatments,release-assurance,release_assurance.release_outcome R0-R3,none,release_assurance.py,test R1-R3 reduce to R0 at zero benefit (planned),none,exists,no
R055,protocol 9.2 / task 3,Twelve metrics travel together for every release-assurance result,release-assurance,release_benchmark.JointMetrics + curves + by-group + repair + bootstrap (12 metrics),lot/time groups synthetic,release_assurance.py; benchmark package,test presence of all 12 (planned),benchmark results,partial,no
R056,task 15,Release assurance reduces only the exact evidenced delay; never sterility endotoxin compendial disposition investigation validation change control,release-assurance,release_assurance.REDUCIBLE_COMPONENTS whitelist,none,release_assurance.py,test whitelist (planned),none,exists,no
R057,task 15,Fallback testing and investigation after abstention; near-total abstention shows no release-time benefit,release-assurance,test_total_abstention_has_no_release_time_benefit; fallback delay,none,release_assurance.py; simulation.py,tests/integration test_total_abstention (planned),none,exists,no
R058,protocol 9.3 items 20-25,Separate benchmark package: pre-registration; grouped external validation; transfer/standardization/DA/conformal/mandatory-hold baselines; risk-coverage and cost-coverage; stress tests; repair; released code seeds model card,release-assurance,"release_benchmark.py: grouped-by-instrument validation, transfer/standardization/mandatory-hold/repair baselines, stress and label-noise tests, risk-coverage and cost curves, bootstrap CIs, model card, claims table",domain adaptation (di-PLS) not re-implemented; results pinned by manifest not commit,benchmark package (phase 7),benchmark tests (planned),public NIR data (present),partial,no
R059,task 3,Reproduce the older spectroscopy result and verify splits leakage metrics seeds denominators intervals,release-assurance,docs/audits/03_conformal_reproduction_audit.md (byte-identical reproduction; audit bootstrap CIs),none for audit; intervals not in source code,docs/audits,reproduction re-run 2026-09-01,none,exists,no
R060,protocol 10.1 Eq.10,Per-strategy minimization s.t. fill-rate mean; tail confidence; shortage days; recovery; equity; all gates PASS,optimization,optimization.optimize_strategy constraints tau/q; EXCLUDED not optimized; NO_CONCLUSION labeled,recovery and equity constraints optional,optimization.py,tests/integration/test_optimization_monotonicity.py (planned),simulation,partial,no
R061,protocol 10.1,Thresholds tau and q chosen before results,optimization,protocol.yaml frozen thresholds; optimizer accepts overrides only for labeled sensitivity runs,founder sign-off pending,protocol.yaml,test_provenance.py,none,partial,yes: sign-off
R062,protocol 10.1,Present Pareto frontier when no explicit weights; dominated architectures; conditional winners; infeasible regions; ranking uncertainty,outputs,figures.cost_reliability_frontier; economics.icer,frontier across optimized designs in report,reporting.py; optimization.py,test_economics.py::test_icer_dominance_labels; frontier test (planned),simulation,partial,no
R063,protocol 10.2,Required outputs: cost per delivered unit; fill rate; shortage days; unmet units; recovery time; probability meeting demand; break-even; ICER; regional equity; quality burden with statistics,outputs,simulation.result metrics dict; runner summary,break-even surface pending,reporting.py,tests (planned) every metric present,simulation,partial,no
R064,protocol Eq.11,ICER never for dominated strategies without label,outputs,economics.icer,reporting suppression pending,economics.py; reporting.py,test_economics.py::test_icer_dominance_labels,none,partial,no
R065,protocol 10.3,Decision classification ADVANCE / NARROW_ADVANCE / REDESIGN / STOP by pre-specified rules,outputs,protocol.yaml decision.classes,classifier not built,reporting.py,test decision rules (planned),results,partial,no
R066,protocol 11.1,Distributions with physical support; dependence preserved; aleatory vs epistemic separated,sensitivity,sensitivity.value_of_information triangular sampling,dependence in sampling pending,sensitivity.py; disruptions.py,test_schemas.py distribution tests,elicitation,partial,yes
R067,protocol 11.2,Mandatory sensitivity inputs (19 listed),sensitivity,sensitivity.MANDATORY_INPUTS (19 mapped),none,sensitivity.py,test coverage of all 19 (planned),none,exists,no
R068,protocol 11.3,One-way thresholds; Sobol; PRCC; structural alternatives; decision-reversal map; EVPI/EVPPI,sensitivity,"sensitivity.one_way, global_sensitivity (Sobol+PRCC), decision_reversal_map, value_of_information",structural alternatives runner pending,sensitivity.py,tests/unit/test_sensitivity.py (Sobol on analytic function) (planned),simulation,partial,no
R069,protocol 11.4,Feasibility map across utilization release time common-cause dependence with gate-masked regions,sensitivity,scripts/run_sensitivity.py + figures.feasibility_map,none,sensitivity.py; reporting.py,figure metadata test (planned),simulation,exists,no
R070,protocol 12.1,Five validation layers conceptual input computational empirical decision,validation,protocol.yaml validation_layers,layers 1 2 5 need humans,validation.py; docs/reviewer_packets,DF12 DF15 DF19,experts,partial,yes
R071,protocol 12.2 / task 20,Backcast multiple episodes (site failure; upstream/common cause; demand shock; resolved) with frozen information; compare duration severity recovery bottleneck regions,backcast,"backcast.py + data/historical_backcasts/episodes.yaml (3 dated from S01, 1 template)",product configs for furosemide and sterile water; site-failure episode documentation,backcast.py; data/historical_backcasts,tests/integration/test_backcast.py (planned),S01 history (HA-10),partial,yes: history
R072,protocol 12.3,Interview program 25-30 across six roles with consent logging contradiction tracking,interviews,"docs/interviews/* (matrix, templates, guide, modules, schema, worksheet, workflow)",no interviews held,docs/interviews/; data/interview_evidence,DF18,humans,partial,yes
R073,protocol 12.4,>= 3 independent reviews with issue decision change rationale published,review,"docs/reviewer_packets/* (4 packets, revision log)",no reviews,docs/reviewer_packets/,DF19,humans,partial,yes
R074,protocol 13.1 items 26-37,Execution sequence in order,protocol,items 26 27 partly done (frozen protocol; snapshots; dossiers),items 28-37 pending,all,DF tests,many,partial,yes
R075,protocol 13.2,Repository structure with README protocol data model src tests config results reports LICENSE CITATION CHANGELOG,repo,feasibility/ layout complete,none,repo,ls,none,exists,no
R076,protocol 13.3,Publication outputs: 15-25 page paper; 2-page memo; workbook with readiness sheet; code lock seeds manifest tests tidy output; dossiers maps register synthesis revision log; one non-obvious finding and one null result,reporting,scripts/build_report.py; figures.py,paper and executive memo text pending,reporting.py; reports/,DF20 DF21,results,partial,no
R077,protocol 13.5 / task 25,Authorship integrity: RESEARCH_LOG DECISIONS ASSUMPTIONS AI_ASSISTANCE CLAIMS_REGISTER,integrity,all five files exist,keep current,root files,DF22,none,exists,no
R078,protocol 13.6,Claim discipline table applied to every external sentence,integrity,protocol.yaml claim_discipline; CLAIMS_REGISTER.csv,continuous,CLAIMS_REGISTER.csv,DF22,none,partial,yes
R079,protocol Appendix B B1-B10,Fill rate; shortage-day indicator; expected shortage days; probability meeting demand; regional disparity; expiry rate; risk among releases; unconditional exposure; MCSE; paired effect,outputs,"simulation.result (B1-B6, B9, B10) + release_benchmark (B7, B8)",none,simulation.py; reporting.py,unit tests per formula (planned),simulation,exists,no
R080,protocol Appendix C,Mass balance; nonnegativity; zero demand; infinite supply; zero capacity; no failures; perfectly correlated sites; independent sites; zero/infinite shelf life; release assurance off; total abstention; seed reproducibility; CRN; optimization sanity,tests,"tests/integration/test_extremes.py (13 cases), test_reproducibility.py",none,tests/integration/test_extremes.py,each named test,none,exists,no
R081,task 21,Cost-ledger reconciliation; strategy dominance; workbook-to-code reconciliation; regression against frozen runs; property-based invariants,tests,"regression reconciliation; hypothesis property tests (schemas, gates, mass balance)",frozen reference simulation runs pending,tests/,tests/regression,none,partial,no
R082,protocol Appendix D,Interview guide core questions and role modules; evidence log fields,interviews,docs/interviews/guide_core.md + modules,none,docs/interviews/,inspection,none,exists,no
R083,protocol Appendix E / task 5,Source register S01-S25 with URLs and dated snapshots; retrieval date time URL HTTP status hash license raw file transform processed dictionary,provenance,config/sources.yaml (27 sources); 41 payload manifests; data/data_dictionary.csv,transform scripts and processed tables pending; ASHP and two papers human,acquire.py; provenance.py,tests/unit/test_acquire.py; test_provenance.py,S21 S24 S25 human,partial,yes
R084,task 5,Respect rate limits terms robots; human task instead of circumvention,provenance,acquire.RobotsCache (Disallow Crawl-delay Hit-rate Visiting-hours); human manifests,none,acquire.py,test_acquire.py robots and visiting-hours tests,none,exists,no
R085,task 5,Never label CMS reimbursement or ASP as manufacturing cost,integrity,sources.yaml license notes; data dictionary; economics separate concepts,continuous,economics.py,inspection,none,exists,no
R086,protocol Appendix F / task 26,Definition-of-finished 22 tests reported by the system until complete,reporting,reporting.finished_status; cli status (1/22),none,reporting.py,cli status run 2026-09-01,none,exists,no
R087,task 4,Machine-readable protocol with version date hash of source documents change log,protocol,protocol.yaml + revisions.csv + provenance.verify_protocol_hashes,none,protocol/,cli protocol verify (3/3 OK),none,exists,no
R088,task 9,Typed schemas for 15 entity types,provenance,schemas.py (all 15 plus GateSet ParameterSet Protocol),none,schemas.py,test_schemas.py,none,exists,no
R089,task 9,Load-time validation: units ranges probabilities negative costs impossible dates missing provenance uncertain gates,provenance,schemas validators,none,schemas.py,test_schemas.py (10 negative tests),none,exists,no
R090,task 11,Track produced released held rejected expired shipped fulfilled backlog lost/substituted separately,simulation,simulation.Counters,none,simulation.py,mass-balance test (planned),none,exists,no
R091,task 14,Report regional outcomes and equity; no silent deprioritization,allocation,simulation regional fill/unmet; regional_disparity metric,allocation-policy sensitivity,allocation.py; reporting.py,test equity metric (planned),none,partial,no
R092,task 16,Take-or-pay and minimum purchase commitments explicit; node economics on committed volume,economics,protocol.yaml committed_volume_rule; S3 design variable take_or_pay,modeling pending,economics.py; strategies.py,test (planned),contract evidence (HA-24),partial,yes
R093,task 17,Auditable optimizer verified against grid; record convergence bounds seeds violations budget,optimization,"optimization records: grid, refinement trace, final, bounds, seeds, wall time",none,optimization.py,test grid vs refined (planned),none,exists,no
R094,task 19,EVPI and EVPPI to prioritize evidence acquisition,sensitivity,sensitivity.value_of_information EVPI/EVPPI,none,sensitivity.py,test EVPPI <= EVPI (planned),simulation,exists,no
R095,task 22,Interview infrastructure: target matrix; guides; consent; anonymized ids; evidence-range schema; contradiction tracking; revision link; no fabricated entries,interviews,docs/interviews/* + data/interview_evidence/ (empty),none pending humans,docs/interviews/; schemas (InterviewRecord planned),DF18,none,exists,no
R096,task 23,Reviewer packets (4) with scope assumptions reproducibility questions limitations; revision log,review,docs/reviewer_packets/*,none pending humans,docs/reviewer_packets/,DF19,none,exists,no
R097,task 24,Automated reporting pipeline with figure metadata rules and preliminary banner,reporting,figures.save_figure refuses missing metadata; build_report banner,none,reporting.py; scripts/build_report.py,figure metadata test (planned),results,exists,no
R098,task 2 / 26,Shelved-asset program kept outside conclusions via labeled interface,integrity,docs/methods/future_work_interface.md,none,docs,inspection,none,exists,no
R099,task 27,Human-action queue for unavailable evidence,integrity,docs/audits/07_human_action_queue.md (33 items),keep current,docs/audits,inspection,none,exists,no
R100,task 8,Reproducible environment: uv lock Python 3.11+ transparent dependencies,repo,pyproject.toml uv.lock (py3.12),none,repo,make env,none,exists,no
R101,design-space assignment Phase A,Failure decomposition by ablation: every named mechanism switched off one at a time (leave-one-out) and on alone (add-one-in) on common random numbers; attribution table with Shapley brackets,design_space,"ablation.py (FACTORS, apply_factors, run_ablation, attribution); scripts/run_ablation.py",none,ablation.py,tests/unit/test_ablation.py,results/ablation/<run>/ (illustrative inputs),exists,no
R102,design-space assignment Phase A,Regional review policy as an opt-in design variable (region_base_stock daily review to target; region_reorder_point_days explicit) and component_lead_fraction; frozen S0-S7 semantics unchanged by default,design_space,strategies.build_strategy region policy block; tests/regression/frozen_digests_s0_s7.json,none,strategies.py,tests/integration/test_region_policy.py; tests/regression/test_frozen_strategies.py,none,exists,no
R103,design-space assignment Phase G,Release benchmark: direct standardization (DS) and per-wavelength instrument standardization baselines fitted on transfer standards only,release_assurance,"release_benchmark.ds_transform / instrument_standardization; metrics shift_ds_n{15,30,50} and shift_instrument_std_n{15,30,50}",none,release_benchmark.py,tests/unit/test_release_benchmark_ext.py,results/release_assurance/ra_* (public tablet data),exists,no
R104,design-space assignment Phase G,"Selective-prediction metrics (AURC, E-AURC, oracle) with gate confidence = conformal p-value and error = interval miss; ties broken in expectation",release_assurance,release_benchmark.risk_coverage_points / aurc; metrics selective_prediction,none,release_benchmark.py,tests/unit/test_release_benchmark_ext.py::test_risk_coverage_hand_case_with_tie_block,results/release_assurance/ra_*,exists,no
R105,design-space assignment Phase G,"Held-out shift-type protocol: gate threshold tuned to a detection target on one shift family and evaluated on every other (unknown shift types), reported as a matrix",release_assurance,release_benchmark.holdout_shift_matrix / tune_threshold; curves.holdout_shift,none,release_benchmark.py,tests/unit/test_release_benchmark_ext.py::test_holdout_matrix_shape_and_bounds,results/release_assurance/ra_*,exists,no
R106,design-space assignment Phase G,"Operational cost curve in USD from provenance-carrying parameters (testing cost, batch value, carrying rate, assay delay, investigation cost, wrong_release_cost_usd) replacing the relative 1:50 weights",release_assurance,release_benchmark.cost_parameters / cost_curve_usd; config/global.yaml wrong_release_cost_usd (tier 5),wrong-release cost has no source (HA-22 elicitation or recall-cost evidence),release_benchmark.py; config/global.yaml,tests/unit/test_release_benchmark_ext.py::test_cost_parameters_trace_to_configs_and_curve_arithmetic,tier-5 placeholder; illustrative,partial,yes: recall-cost evidence
R107,design-space assignment Phase G,Leakage effect sizes measurable in-package: component selection on train+calibration (train_and_calibration_cv) and gate-statistic choice (q_residual vs nn) as benchmark options,release_assurance,release_benchmark.fit_layer options gate_score / component_selection; scripts/run_release_benchmark.py flags,none,release_benchmark.py,tests/unit/test_release_benchmark_ext.py::test_gate_and_selection_options_validate_and_q_gate_evaluates,results/release_assurance/ra_* (leak-mode runs),exists,no
R108,design-space assignment Phase G,Repair under n=3 verified samples and R2 per instrument reported with bootstrap intervals; legacy keys bit-identical (extension draws use separate streams),release_assurance,release_benchmark extra_repair_sizes; metrics home/shift r2; shift_repaired_quantile_n3,none,release_benchmark.py,tests/integration/test_release_benchmark.py (existing) + docs/design_space/release_assurance_followup.md byte-compat note,results/release_assurance/ra_*,exists,no
R109,design-space assignment Phase D,"Configuration-declared strategies S8+: site_plans, extra_suppliers, design_space, and profile blocks on StrategyDesign; S0-S7 topologies stay code-defined and byte-identical; one registry (load_all_strategies) for runner and optimizer",design_space,schemas.SitePlanSpec/SupplierSpec/DesignVariableSpec/StrategyProfile; configs.load_design_space_strategies/load_all_strategies; strategies._plans_from_spec; optimization.space_for,no strategies declared yet (config/strategies/design_space.yaml absent),strategies.py; configs.py,tests/unit/test_design_space_schema.py; tests/integration/test_design_space_engine.py::test_generic_builder_reproduces_s5_when_capacity_factor_is_one,none,exists,no
R110,design-space assignment Phase B family 7,"Warm standby: reserved site runs exercise batches on a declared cadence to stay validated; activation requests fail with a declared probability and are re-issued after the activation lead time (RandomStream.ACTIVATION, entity-keyed)",design_space,"production.SiteRuntime.exercise_due/start_exercise/advance_activation(day, u); simulation step 6 counters exercise_batches, activation_failures",readiness cost beyond exercise batches and the reservation fee is not modeled,production.py; simulation.py,tests/integration/test_design_space_engine.py::test_warm_standby_exercises_on_cadence_without_activating; ::test_activation_failure_probability_orders_fill_and_counts,"activation reliability evidence (HA-13, family 7 prior art)",exists,no
